time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Concurrent GC.count,Jvm:G1 Concurrent GC.time,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2025-11-10 14:07:59.498 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,45242073088,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1762783678931,,, , , , , , , , , ,3145728,1377,7,7,4,7, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , , , , , ,41047712,-1, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-11-10 14:07:59.781 UTC, , , , , , , , , ,125,3270093,124240, , ,13, ,330, , , , , , , , , ,13,13, , , , ,1,13, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,45242073088,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1762783678931,,, , , , , , , , , ,3145728,53353, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , , , ,45242016,-1, , , , , , ,340, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,310, , , , , , , , , , , , , , 
2025-11-10 14:08:40.073 UTC, , , , , , , , , ,125,3171237,25384, , ,3, ,72,3,0,04, , , , , , , ,3,3, ,2, ,2,1,3, ,73,31, , , , , , , , , , , , , ,58988,2, ,53621, , , , ,59035,45241245696,93,93,93,93, , , , , ,8,413, , , , , , , , , , , , , , , , , , , , , , , , , ,59035,1762783719438,,, , , , , , , , , ,3145728,58988, , , , , , ,39, , ,3, , ,3, , ,39,1,2048,1, , , , , ,218873,65, , , , , , , , , , , , ,34756256,-1, , , , , , ,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-11-10 14:08:40.077 UTC, , , , , , , , , ,125,3171237,25384, , ,3, , , , , , , , , , , ,3,3, , , ,2,1,3, , , , , , , , , , , , , , , , ,58988,2, ,53621, , , , ,59035,45241245696,93,93,93,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,59035,1762783719438,,, , , , , , , , , ,3145728,58988, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , , , ,34756256,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-11-10 14:08:54.905 UTC, , , , , , , , , ,125,3170325,24360,112, ,3, ,72,3,0,04, , , , , , , ,3,3, ,2, ,2,1,3, ,61,22, , , , , , , , , , , , , ,58988,2, ,53621, , , , ,59035,45240573952,93,93,93,93, , , , , ,8,413, , , , , , , , , , , , , , , , , , , , , , , , , ,59035,1762783734279,,, , , , , , , , , ,3145728,58988, , , , , , ,30, , ,3, , ,3, , ,30,1,2048,1, , , , , ,218442,56, , , , , , , , , , , , ,38950560,-1, , , , , , ,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-11-10 14:08:54.915 UTC, , , , , , , , , ,125,3179589,33736, , ,4, ,2,1,0,50, , , , , , , ,4,4, , , ,4,1,4, ,31,31, , , , , , , , , , , , , ,58988,2, ,53621, , , , ,59035,45240573952,93,93,93,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,59035,1762783734279,,, , , , , , , , , ,3145728,58988, , , , , , ,33, , , , , ,3, , ,33,1, , , , , , , ,9911,33, , , , , , , , , , , , ,38950560,-1, , , , , , ,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, , , , , , , , , , , , 
2025-11-10 14:09:06.514 UTC, , , , , , , , , ,125,3170213,24360, , ,3, ,71,3,0,04, , , , , , , ,3,3, ,2, ,2,1,4, ,59,21, , , , , , , , , , , , , ,58988,2, ,53621, , , , , , ,-1,-1,-1,-1, , , , , ,8,413, , , , , , , , , , , , , , , , , , , , , , , , , , ,1762783746461,,, , , , , , , , , ,3145728,58988, , , , , , ,29, , ,2, , ,3, , ,29, ,2048,1, , , , , ,216352,54, , , , , , , , , , , , ,53630624,-1, , , , , , ,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-11-10 14:09:06.522 UTC, , , , , , , , , ,125,3180061,34208, , ,4, ,3,1,0,33, , , , , , , ,4,4, , , ,4,1,4, ,33,32, , , , , , , , , , , , , ,58988,2, ,53621, , , , ,59035,45238984704,93,93,93,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,59035,1762783746461,,, , , , , , , , , ,3145728,58988, , , , , , ,34, , ,1, , ,3, , ,34,1, , , , , , , ,12519,35, , , , , , , , , , , , ,53630624,-1, , , , , , ,33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, , , , , , , , , , , , 
2025-11-10 14:10:28.941 UTC, , , , , , , , , ,125,3170213,24360, , ,3, ,70,3,0,04, , , , , , , ,3,3, ,2, ,2,1,4, ,59,21, , , , , , , , , , , , , ,58988,2, ,53621, , , , ,59035,45220274176,93,93,93,93, , , , , ,8,413, , , , , , , , , , , , , , , , , , , , , , , , , ,59035,1762783828241,,, , , , , , , , , ,3145728,58988, , , , , , ,29, , ,2, , ,3, , ,29, ,2048,1, , , , , ,216352,54, , , , , , , , , , , , ,43144864,-1, , , , , , ,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2025-11-10 14:10:29.226 UTC, , , , , , , , , ,1909,3257701,110064, , ,13, ,330,10,0,03, , , , , , , ,13,13, , , ,22,1,13, ,20,10, , , , , , , , , , , , , ,58988,2, ,53621, , , , ,59035,45220274176,93,93,93,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,59035,1762783828241,,, , , , , , , , , ,3145728,110173, , , , , , ,30, , ,1, , ,3, , ,30,1, , , , , , , ,43481,31, , , , , , , , , , , , ,49436320,-1, , , , , , ,340, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,310, , , , , , , , , 
2025-11-10 14:10:45.976 UTC, , , , , , , , , ,125,3171317,25464, , ,3, ,70,3,0,04, , , , , , , ,3,3, ,2, ,2,1,4, ,61,22, , , , , , , , , , , , , ,115668,3, ,110444, , , , ,115717,45203259392,49,49,49,49, , , , , ,15,757, , , , , , , , , , , , , , , , , , , , , , , , , ,115717,1762783845384,,, , , , , , , , , ,3145728,115668, , , , , , ,30, , ,2, , ,3, , ,30, ,2048,1, , , , , ,332425,69, , , , , , , , , , , , ,45242016,-1, , , , , , ,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
